Iteration	CPUTime	PhysTime	Travels
1	15	0	0.00584160591
2	18	0	0.0116832118
3	21	0	0.0175248177
4	24	0	0.0233664236
5	26	0	0.0292080296
6	28	0	0.0350496355
7	30	0	0.0408912414
8	33	0	0.0467328473
9	35	0	0.0525744532
10	37	0	0.0584160591
11	39	0	0.064257665
12	41	0	0.0700992709
13	44	0	0.0759408768
14	46	0	0.0817824828
15	48	0	0.0876240887
16	50	0	0.0934656946
17	52	0	0.0993073005
18	54	0	0.105148906
19	57	0	0.110990512
20	59	0	0.116832118
21	61	0	0.122673724
22	63	0	0.12851533
23	66	0	0.134356936
24	68	0	0.140198542
25	70	0	0.146040148
26	72	0	0.151881754
27	75	0	0.15772336
28	77	0	0.163564966
29	79	0	0.169406571
30	82	0	0.175248177
31	84	0	0.181089783
32	86	0	0.186931389
33	89	0	0.192772995
34	91	0	0.198614601
35	94	0	0.204456207
36	96	0	0.210297813
37	99	0	0.216139419
38	101	0	0.221981025
39	104	0	0.227822631
40	106	0	0.233664236
41	109	0	0.239505842
42	111	0	0.245347448
43	113	0	0.251189054
44	116	0	0.25703066
45	118	0	0.262872266
46	121	0	0.268713872
47	123	0	0.274555478
48	126	0	0.280397084
49	128	0	0.28623869
50	130	0	0.292080296
51	133	0	0.297921901
52	135	0	0.303763507
53	138	0	0.309605113
54	140	0	0.315446719
55	142	0	0.321288325
56	145	0	0.327129931
57	147	0	0.332971537
58	150	0	0.338813143
59	152	0	0.344654749
60	154	0	0.350496355
61	157	0	0.356337961
62	159	0	0.362179566
63	161	0	0.368021172
64	163	0	0.373862778
65	165	0	0.379704384
66	168	0	0.38554599
67	170	0	0.391387596
68	172	0	0.397229202
69	174	0	0.403070808
70	177	0	0.408912414
71	179	0	0.41475402
72	182	0	0.420595626
73	184	0	0.426437232
74	187	0	0.432278837
75	189	0	0.438120443
76	192	0	0.443962049
77	194	0	0.449803655
78	196	0	0.455645261
79	199	0	0.461486867
80	201	0	0.467328473
81	203	0	0.473170079
82	206	0	0.479011685
83	208	0	0.484853291
84	210	0	0.490694897
85	213	0	0.496536502
86	215	0	0.502378108
87	218	0	0.508219714
88	220	0	0.51406132
89	223	0	0.519902926
90	225	0	0.525744532
91	228	0	0.531586138
92	230	0	0.537427744
93	233	0	0.54326935
94	235	0	0.549110956
95	238	0	0.554952562
96	241	0	0.560794167
97	243	0	0.566635773
98	246	0	0.572477379
99	248	0	0.578318985
100	251	0	0.584160591
101	258	0	0.590002197
102	260	0	0.595843803
103	263	0	0.601685409
104	265	0	0.607527015
105	267	0	0.613368621
106	270	0	0.619210227
107	272	0	0.625051832
108	275	0	0.630893438
109	277	0	0.636735044
110	279	0	0.64257665
111	282	0	0.648418256
112	284	0	0.654259862
113	286	0	0.660101468
114	289	0	0.665943074
115	291	0	0.67178468
116	293	0	0.677626286
117	296	0	0.683467892
118	298	0	0.689309497
119	300	0	0.695151103
120	303	0	0.700992709
121	305	0	0.706834315
122	308	0	0.712675921
123	310	0	0.718517527
124	312	0	0.724359133
125	315	0	0.730200739
126	317	0	0.736042345
127	320	0	0.741883951
128	322	0	0.747725557
129	324	0	0.753567163
130	327	0	0.759408768
131	329	0	0.765250374
132	332	0	0.77109198
133	334	0	0.776933586
134	337	0	0.782775192
135	339	0	0.788616798
136	342	0	0.794458404
137	344	0	0.80030001
138	347	0	0.806141616
139	349	0	0.811983222
